model,member,region,period_id,period,baseline_period,period_mean_jja_warming
ACCESS-ESM1-5,r28i1p1f1,WCE,P3,2081-2100,1995-2014,5.753134042972673
ACCESS-ESM1-5,r29i1p1f1,MED,P1,2021-2040,1995-2014,1.2537462640754424
ACCESS-ESM1-5,r29i1p1f1,MED,P2,2041-2060,1995-2014,2.5414720745586523
ACCESS-ESM1-5,r29i1p1f1,MED,P3,2081-2100,1995-2014,4.591059832274357
ACCESS-ESM1-5,r29i1p1f1,NEU,P1,2021-2040,1995-2014,0.5375973073225859
ACCESS-ESM1-5,r29i1p1f1,NEU,P2,2041-2060,1995-2014,1.4715049224244416
ACCESS-ESM1-5,r29i1p1f1,NEU,P3,2081-2100,1995-2014,3.461345514400018
ACCESS-ESM1-5,r29i1p1f1,WCE,P1,2021-2040,1995-2014,1.1927458901193997
ACCESS-ESM1-5,r29i1p1f1,WCE,P2,2041-2060,1995-2014,2.4323562299620862
ACCESS-ESM1-5,r29i1p1f1,WCE,P3,2081-2100,1995-2014,5.033517810820287
ACCESS-ESM1-5,r2i1p1f1,MED,P1,2021-2040,1995-2014,1.4493170684258474
ACCESS-ESM1-5,r2i1p1f1,MED,P2,2041-2060,1995-2014,2.437363248445763
ACCESS-ESM1-5,r2i1p1f1,MED,P3,2081-2100,1995-2014,4.664982053776512
ACCESS-ESM1-5,r2i1p1f1,NEU,P1,2021-2040,1995-2014,0.33202770575317614
ACCESS-ESM1-5,r2i1p1f1,NEU,P2,2041-2060,1995-2014,1.8708931259596973
ACCESS-ESM1-5,r2i1p1f1,NEU,P3,2081-2100,1995-2014,3.422504102179519
ACCESS-ESM1-5,r2i1p1f1,WCE,P1,2021-2040,1995-2014,1.3141579483052965
ACCESS-ESM1-5,r2i1p1f1,WCE,P2,2041-2060,1995-2014,2.926640330455172
ACCESS-ESM1-5,r2i1p1f1,WCE,P3,2081-2100,1995-2014,5.392228842791452
ACCESS-ESM1-5,r30i1p1f1,MED,P1,2021-2040,1995-2014,1.4346914813468636
ACCESS-ESM1-5,r30i1p1f1,MED,P2,2041-2060,1995-2014,2.2420394137878787
ACCESS-ESM1-5,r30i1p1f1,MED,P3,2081-2100,1995-2014,4.931150233791332
ACCESS-ESM1-5,r30i1p1f1,NEU,P1,2021-2040,1995-2014,0.48211853290997786
ACCESS-ESM1-5,r30i1p1f1,NEU,P2,2041-2060,1995-2014,1.663083120885198
ACCESS-ESM1-5,r30i1p1f1,NEU,P3,2081-2100,1995-2014,3.4848036345657234
ACCESS-ESM1-5,r30i1p1f1,WCE,P1,2021-2040,1995-2014,1.4612008010700896
ACCESS-ESM1-5,r30i1p1f1,WCE,P2,2041-2060,1995-2014,2.3000803772913736
ACCESS-ESM1-5,r30i1p1f1,WCE,P3,2081-2100,1995-2014,5.808008052508773
ACCESS-ESM1-5,r31i1p1f1,MED,P1,2021-2040,1995-2014,1.0104461181864446
ACCESS-ESM1-5,r31i1p1f1,MED,P2,2041-2060,1995-2014,2.1479412433440492
ACCESS-ESM1-5,r31i1p1f1,MED,P3,2081-2100,1995-2014,4.49404142493803
ACCESS-ESM1-5,r31i1p1f1,NEU,P1,2021-2040,1995-2014,0.3948470670334694
ACCESS-ESM1-5,r31i1p1f1,NEU,P2,2041-2060,1995-2014,0.6922273793486096
ACCESS-ESM1-5,r31i1p1f1,NEU,P3,2081-2100,1995-2014,3.1185385924365474
ACCESS-ESM1-5,r31i1p1f1,WCE,P1,2021-2040,1995-2014,0.4893116446443253
ACCESS-ESM1-5,r31i1p1f1,WCE,P2,2041-2060,1995-2014,1.778608640983385
ACCESS-ESM1-5,r31i1p1f1,WCE,P3,2081-2100,1995-2014,4.860752566059498
ACCESS-ESM1-5,r32i1p1f1,MED,P1,2021-2040,1995-2014,1.7108372318678362
ACCESS-ESM1-5,r32i1p1f1,MED,P2,2041-2060,1995-2014,2.875266960035657
ACCESS-ESM1-5,r32i1p1f1,MED,P3,2081-2100,1995-2014,5.187453851990151
ACCESS-ESM1-5,r32i1p1f1,NEU,P1,2021-2040,1995-2014,1.3836161268463303
ACCESS-ESM1-5,r32i1p1f1,NEU,P2,2041-2060,1995-2014,2.071922111754816
ACCESS-ESM1-5,r32i1p1f1,NEU,P3,2081-2100,1995-2014,4.277726318432721
ACCESS-ESM1-5,r32i1p1f1,WCE,P1,2021-2040,1995-2014,2.5856051847012194
ACCESS-ESM1-5,r32i1p1f1,WCE,P2,2041-2060,1995-2014,3.3877177313650706
ACCESS-ESM1-5,r32i1p1f1,WCE,P3,2081-2100,1995-2014,6.150542682349378
ACCESS-ESM1-5,r33i1p1f1,MED,P1,2021-2040,1995-2014,1.3790994841218474
ACCESS-ESM1-5,r33i1p1f1,MED,P2,2041-2060,1995-2014,2.568674023430168
ACCESS-ESM1-5,r33i1p1f1,MED,P3,2081-2100,1995-2014,4.6200255112325745
ACCESS-ESM1-5,r33i1p1f1,NEU,P1,2021-2040,1995-2014,0.6718600221929159
ACCESS-ESM1-5,r33i1p1f1,NEU,P2,2041-2060,1995-2014,1.4959365275284937
ACCESS-ESM1-5,r33i1p1f1,NEU,P3,2081-2100,1995-2014,3.961387912265672
ACCESS-ESM1-5,r33i1p1f1,WCE,P1,2021-2040,1995-2014,1.8556594760472946
ACCESS-ESM1-5,r33i1p1f1,WCE,P2,2041-2060,1995-2014,2.794068192170065
ACCESS-ESM1-5,r33i1p1f1,WCE,P3,2081-2100,1995-2014,5.809425756660934
ACCESS-ESM1-5,r34i1p1f1,MED,P1,2021-2040,1995-2014,1.3724041974019843
ACCESS-ESM1-5,r34i1p1f1,MED,P2,2041-2060,1995-2014,2.449911951761589
ACCESS-ESM1-5,r34i1p1f1,MED,P3,2081-2100,1995-2014,4.909425768500009
ACCESS-ESM1-5,r34i1p1f1,NEU,P1,2021-2040,1995-2014,1.343381372090502
