,change_score_raw,change_score_smooth
1877-07-01,0.21328169,0.27079007
1877-10-01,0.22701867,0.25034913
1878-01-01,0.31813842,0.2335099
1878-04-01,0.18515378,0.22265497
1878-07-01,0.23740743,0.21934587
1878-10-01,0.27337068,0.22406861
1879-01-01,0.24550314,0.23615153
1879-04-01,0.22031614,0.25394034
1879-07-01,0.22916555,0.2752463
1879-10-01,0.25806618,0.29798046
1880-01-01,0.4092521,0.3206983
1880-04-01,0.4814481,0.3428426
1880-07-01,0.20409885,0.36438987
1880-10-01,0.1291195,0.38515753
1881-01-01,0.17499419,0.40408662
1881-04-01,0.29126057,0.4189668
1881-07-01,0.5205015,0.42687073
1881-10-01,0.36814624,0.42533866
1882-01-01,0.36726007,0.41368285
1882-04-01,0.37096,0.3940439
1882-07-01,0.27580306,0.3714524
1882-10-01,0.22543973,0.35284197
1883-01-01,0.13152294,0.34539327
1883-04-01,0.24809843,0.35471234
1883-07-01,0.2801425,0.38333791
1883-10-01,0.23061126,0.43009526
1884-01-01,0.20595643,0.4903205
1884-04-01,0.38878748,0.55686617
1884-07-01,0.49909133,0.6215665
1884-10-01,0.40507862,0.67669016
1885-01-01,0.3492689,0.7161311
1885-04-01,0.4202339,0.7361818
1885-07-01,0.47958747,0.735648
1885-10-01,0.46935782,0.715647
1886-01-01,0.30197364,0.6790812
1886-04-01,0.2771658,0.6300336
1886-07-01,0.35032865,0.57330316
1886-10-01,0.47563934,0.5139235
1887-01-01,0.29651055,0.45686343
1887-04-01,0.2104367,0.4067105
1887-07-01,0.16824903,0.36733693
1887-10-01,0.26293397,0.34168324
1888-01-01,0.30653158,0.33144805
1888-04-01,0.29960677,0.33694357
1888-07-01,0.3072982,0.35693014
1888-10-01,0.16136608,0.38868204
1889-01-01,0.17659596,0.4280717
1889-04-01,0.41418764,0.46992472
1889-07-01,0.388907,0.50876015
1889-10-01,0.43789846,0.53990406
1890-01-01,0.2979806,0.5605023
1890-04-01,0.33163407,0.5702825
1890-07-01,0.50717103,0.5716921
1890-10-01,0.36690226,0.5692161
1891-01-01,0.27424696,0.5679267
1891-04-01,0.20019107,0.571757
1891-07-01,0.1416795,0.58194286
1891-10-01,0.32674268,0.5965197
1892-01-01,0.43834764,0.6107586
1892-04-01,0.57206464,0.6187542
1892-07-01,0.35576817,0.6154893
1892-10-01,0.30414793,0.59866834
1893-01-01,0.43901452,0.5696942
1893-04-01,0.49263775,0.5333977
1893-07-01,0.19066639,0.49664992
1893-10-01,0.16789806,0.46623325
1894-01-01,0.23735414,0.44670367
1894-04-01,0.19157386,0.43900153
1894-07-01,0.25546023,0.4401598
1894-10-01,0.39613938,0.44433433
1895-01-01,0.45644078,0.44464302
1895-04-01,0.4622328,0.43516135
1895-07-01,0.21860169,0.4126359
1895-10-01,0.32088292,0.37724435
1896-01-01,0.3427948,0.33240905
1896-04-01,0.25187147,0.28378096
1896-07-01,0.2403141,0.23766409
1896-10-01,0.24133804,0.19946967
1897-01-01,0.141107,0.1722681
1897-04-01,0.117776066,0.15620375
1897-07-01,0.250546,0.14857227
1897-10-01,0.24789593,0.1447632
1898-01-01,0.3568675,0.13965829
1898-04-01,0.36973962,0.12926832
1898-07-01,0.26364046,0.11183222
1898-10-01,0.20534281,0.088212915
1899-01-01,0.20017813,0.061471254
1899-04-01,0.16110495,0.035803918
1899-07-01,0.2011465,0.015295788
1899-10-01,0.15697259,0.0029300835
1900-01-01,0.2040798,0.0
1900-04-01,0.23011033,0.006170302
1900-07-01,0.15055859,0.019783435
1900-10-01,0.28436393,0.03836173
1901-01-01,0.20270565,0.059207276
1901-04-01,0.2584712,0.07988804
1901-07-01,0.19580747,0.098629616
1901-10-01,0.22941983,0.11464955
1902-01-01,0.30461994,0.12824257
1902-04-01,0.38386944,0.14056516
1902-07-01,0.1965132,0.15317586
1902-10-01,0.085446514,0.16737953
1903-01-01,0.16344215,0.18363334
1903-04-01,0.28637147,0.20127359
1903-07-01,0.3615914,0.2186241
1903-10-01,0.36155486,0.23356842
1904-01-01,0.27000648,0.24421327
1904-04-01,0.19059482,0.24945727
1904-07-01,0.24434824,0.24939533
1904-10-01,0.27753884,0.2454103
1905-01-01,0.3513625,0.24000876
1905-04-01,0.34576464,0.23643433
1905-07-01,0.19382885,0.237923
1905-10-01,0.16628486,0.2468234
1906-01-01,0.15993254,0.26390028
1906-04-01,0.25304234,0.2879646
1906-07-01,0.28255886,0.31617033
1906-10-01,0.31814072,0.34497175
1907-01-01,0.41289723,0.37133685
1907-04-01,0.49350718,0.39373368
1907-07-01,0.22139263,0.412524
1907-10-01,0.15927096,0.4294409
1908-01-01,0.24470225,0.44643167
1908-04-01,0.34098744,0.46439618
1908-07-01,0.3712653,0.48243952
1908-10-01,0.27281797,0.4979651
1909-01-01,0.26398456,0.5075724
1909-04-01,0.3717038,0.508343
1909-07-01,0.64733326,0.4989676
1909-10-01,0.35737833,0.48018244
1910-01-01,0.2211041,0.45427215
1910-04-01,0.15257604,0.42396677
1910-07-01,0.14122348,0.3912923
1910-10-01,0.2418032,0.3569634
1911-01-01,0.53291,0.3206837
1911-04-01,0.44318572,0.28217387
1911-07-01,0.2344688,0.2422773
1911-10-01,0.170823,0.20350708
1912-01-01,0.24224629,0.16964112
1912-04-01,0.1954961,0.14458682
1912-07-01,0.1059492,0.13098869
1912-10-01,0.13804199,0.12918368
1913-01-01,0.25345877,0.13702764
1913-04-01,0.3738659,0.15049016
1913-07-01,0.32080147,0.16483746
1913-10-01,0.24993241,0.17590964
1914-01-01,0.23177987,0.18106918
1914-04-01,0.176497,0.17962225
1914-07-01,0.32311964,0.17293064
1914-10-01,0.35776204,0.16400406
1915-01-01,0.25472483,0.1568344
1915-04-01,0.18149115,0.15546043
1915-07-01,0.14398777,0.1631154
1915-10-01,0.09990521,0.18136767
1916-01-01,0.2675627,0.20978658
1916-04-01,0.33731645,0.24616262
1916-07-01,0.36501345,0.2870891
1916-10-01,0.24902646,0.3288607
1917-01-01,0.2746413,0.36818734
1917-04-01,0.3186736,0.40265578
1917-07-01,0.28878328,0.4307675
1917-10-01,0.41723666,0.45176595
1918-01-01,0.32818156,0.46536484
1918-04-01,0.24079143,0.47161105
1918-07-01,0.28831053,0.47097358
1918-10-01,0.34570906,0.46453422
1919-01-01,0.47971538,0.45432234
1919-04-01,0.32102376,0.4432752
1919-07-01,0.23731303,0.43484133
1919-10-01,0.20358953,0.43225616
1920-01-01,0.21423866,0.4376026
1920-04-01,0.39020503,0.45094422
1920-07-01,0.24314386,0.47005868
1920-10-01,0.28591165,0.49068132
1921-01-01,0.3644204,0.507444
1921-04-01,0.46325293,0.5151315
1921-07-01,0.3890014,0.5101543
1921-10-01,0.29072616,0.4916051
1922-01-01,0.32990134,0.4617724
1922-04-01,0.38839006,0.42591038
1922-07-01,0.41120028,0.39110145
1922-10-01,0.15717661,0.36457062
1923-01-01,0.07958447,0.35179594
1923-04-01,0.16954933,0.35495213
1923-07-01,0.23083128,0.372316
1923-10-01,0.3180174,0.3987976
1924-01-01,0.48821154,0.42756644
1924-04-01,0.40184155,0.4521246
1924-07-01,0.34527892,0.46808547
1924-10-01,0.31297755,0.4741823
1925-01-01,0.36519083,0.47208536
1925-04-01,0.23382321,0.46544737
1925-07-01,0.26970348,0.4584959
1925-10-01,0.28369778,0.45459366
1926-01-01,0.3161849,0.45536917
1926-04-01,0.32202107,0.46043363
1926-07-01,0.2825703,0.46781236
1926-10-01,0.2711865,0.47481048
1927-01-01,0.3539205,0.47902414
1927-04-01,0.4506153,0.47914827
1927-07-01,0.4060272,0.47536513
1927-10-01,0.30659628,0.46904784
1928-01-01,0.16834342,0.46194223
1928-04-01,0.20211108,0.45517996
1928-07-01,0.29042238,0.44855833
1928-10-01,0.39233896,0.44039607
1929-01-01,0.43232647,0.42817783
1929-04-01,0.25964665,0.40969265
1929-07-01,0.3561161,0.38423645
1929-10-01,0.2760969,0.35332417
1930-01-01,0.35766155,0.3207336
1930-04-01,0.30810064,0.2916846
1930-07-01,0.15703349,0.27154896
1930-10-01,0.12994932,0.26435685
1931-01-01,0.14205407,0.27168453
1931-04-01,0.26670545,0.29224783
1931-07-01,0.40015754,0.32232663
1931-10-01,0.35283792,0.3567495
1932-01-01,0.26363817,0.39017767
1932-04-01,0.2873962,0.4182287
1932-07-01,0.3511783,0.4380836
1932-10-01,0.4177924,0.44869202
1933-01-01,0.3294339,0.450495
1933-04-01,0.23102161,0.4449273
1933-07-01,0.23724832,0.43394276
1933-10-01,0.36687258,0.41949826
1934-01-01,0.43360776,0.40327427
1934-04-01,0.26302227,0.38634828
1934-07-01,0.20425111,0.3690181
1934-10-01,0.20841849,0.3508135
1935-01-01,0.2763862,0.3308556
1935-04-01,0.3407271,0.30854443
1935-07-01,0.45154408,0.284267
1935-10-01,0.3112692,0.25995874
1936-01-01,0.16953714,0.2389832
1936-04-01,0.21989591,0.2253865
1936-07-01,0.15648763,0.222627
1936-10-01,0.15270928,0.2323107
1937-01-01,0.2590711,0.2534479
1937-04-01,0.27123827,0.28249636
